date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,USD_raw,EUR_raw,GBP_raw,JPY_raw,CNY_raw,GDP_bigmac,adj_price,USD_adjusted,EUR_adjusted,GBP_adjusted,JPY_adjusted,CNY_adjusted
4/1/2003,VEN,VEF,Venezuela,3700,1598,2.315394243,-0.05878,-0.22328,-0.2636,0.06049,0.93651,,,,,,,
4/1/2003,ZAF,ZAR,South Africa,13.95,7.56,1.845238095,-0.2499,-0.381,-0.41313,-0.15485,0.54329,5176.306606,1.8762637,0.1033,-0.22852,-0.24755,0.25171,0.48055
5/1/2004,ARG,ARS,Argentina,4.36,2.95,1.477966102,-0.40163,-0.5505,-0.56081,-0.36256,0.17669,6287.377635,2.096213863,-0.16665,-0.46321,-0.44903,-0.11755,0.12413
5/1/2004,AUS,AUD,Australia,3.25,1.43,2.272727273,-0.07987,-0.30878,-0.32464,-0.01978,0.80944,31816.678,2.730781246,-0.01631,-0.36637,-0.34963,0.04165,0.32693
5/1/2004,BRA,BRL,Brazil,5.4,3.18,1.698113208,-0.3125,-0.48354,-0.49539,-0.26761,0.35196,4348.471135,2.048019561,-0.01999,-0.36874,-0.35206,0.03776,0.32197
5/1/2004,CAN,CAD,Canada,3.19,1.37,2.328467153,-0.0573,-0.29183,-0.30807,0.00426,0.85382,30741.81667,2.704064026,0.01777,-0.34441,-0.3271,0.07775,0.37291
5/1/2004,CHE,CHF,Switzerland,6.3,1.29,4.88372093,0.97721,0.48532,0.45124,1.10634,2.88819,26141.16855,2.589708317,1.22894,0.43574,0.47367,1.36028,2.00668
5/1/2004,CHL,CLP,Chile,1400,641,2.184087363,-0.11575,-0.33574,-0.35098,-0.05801,0.73887,5885.486325,2.086224278,0.23739,-0.20295,-0.1819,0.31031,0.66916
5/1/2004,CHN,CNY,China,10.4,8.28,1.256038647,-0.49148,-0.61799,-0.62676,-0.45827,0,2520.552588,2.002584023,-0.25867,-0.52248,-0.50987,-0.21499,0
5/1/2004,COL,COP,Colombia,6500,2769.83,2.346714419,-0.04991,-0.28628,-0.30265,0.01213,0.86835,2529.773234,2.002813216,0.3849,-0.10794,-0.08437,0.4665,0.86813
5/1/2004,CRI,CRC,Costa Rica,1130,433.55,2.606389113,0.05522,-0.2073,-0.22549,0.12413,1.07509,,,,,,,
5/1/2004,CZE,CZK,Czech Republic,56.42,26.5,2.129056604,-0.13803,-0.35248,-0.36733,-0.08174,0.69506,12127.10706,2.241368715,0.12272,-0.27681,-0.25771,0.18888,0.51447
5/1/2004,DNK,DKK,Denmark,27.75,6.22,4.461414791,0.80624,0.35688,0.32575,0.9242,2.55197,23754.73509,2.53039009,1.08393,0.34234,0.3778,1.20673,1.81108
5/1/2004,EGY,EGP,Egypt,10,6.19,1.615508885,-0.34595,-0.50867,-0.51994,-0.30323,0.28619,1594.570744,1.979567416,-0.03542,-0.37868,-0.36227,0.02142,0.30115
5/1/2004,EUZ,EUR,Euro area,2.74,0.833333333,3.288000001,0.33117,0,-0.02294,0.41811,1.61775,22663.85272,2.503274644,0.55246,0,0.02642,0.64394,1.09417
